	PP	PA	PI	PD	AP	AA	AI	AD	IP	IA	II	ID	DI	DP	DA	DD
PP	--	62	62	70	61	98	74	89	63	66	60	60	56	70	70	56
PA	58	--	80	67	80	74	67	62	58	62	54	60	56	66	54	56
PI	71	54	--	76	58	68	77	62	85	66	63	60	59	58	62	56
PD	75	62	54	--	58	82	66	77	54	58	60	63	56	89	77	59
AP	62	70	58	79	--	68	62	96	58	54	56	56	58	74	66	58
AA	54	61	54	78	60	--	75	94	58	66	56	56	58	73	86	58
AI	66	58	54	79	60	84	--	87	58	70	59	56	61	66	79	58
AD	79	58	58	93	60	70	58	--	54	54	56	59	58	83	75	75
IP	58	60	80	69	59	62	58	66	--	75	75	62	54	74	66	54
IA	79	63	54	79	56	80	75	58	66	--	62	62	54	79	66	54
II	64	60	64	58	56	81	62	58	89	94	--	62	57	58	58	54
ID	62	60	58	69	56	54	62	66	72	81	54	--	70	74	66	54
DI	79	56	58	79	58	62	62	62	58	62	57	70	--	84	73	56
DP	76	56	54	75	61	89	54	84	58	58	54	54	56	--	84	70
DA	89	59	56	89	58	85	58	70	62	54	54	54	56	79	--	75
DD	62	56	58	58	58	62	69	69	66	74	54	57	56	89	84	--
